32个省份（包括自治区、直辖市）,name,区域代码,city,经度-角度,纬度-角度,经度-弧度,纬度-弧度,南侧或北侧（南侧为-1，北侧为1，直接筛选即可）
贵州省,六盘水市,520200,5202,104.83,26.6,1.829628655,0.464257581,-1
贵州省,遵义市,520300,5203,106.92,27.65,1.866106036,0.482583538,-1
贵州省,安顺市,520400,5204,105.92,26.25,1.848652744,0.458148929,-1
贵州省,毕节市,520500,5205,105.28,27.3,1.837482636,0.476474886,-1
贵州省,铜仁市,520600,5206,109.18,27.72,1.905550477,0.483805269,-1
贵州省,黔西南布依族苗族自治州,522300,5223,104.9,25.08,1.830850385,0.437728576,-1
贵州省,黔东南苗族侗族自治州,522600,5226,107.97,26.58,1.884431993,0.463908515,-1
贵州省,黔南布依族苗族自治州,522700,5227,107.52,26.27,1.876578012,0.458497994,-1
云南省,昆明市,530100,5301,102.7,25.05,1.792453142,0.437204978,-1
云南省,曲靖市,530300,5303,103.8,25.5,1.811651764,0.445058959,-1
云南省,玉溪市,530400,5304,102.75,24.28,1.793325806,0.423765942,-1
云南省,保山市,530500,5305,99.17,25.12,1.730843019,0.438426708,-1
云南省,昭通市,530600,5306,103.72,27.33,1.8102555,0.476998485,-1
云南省,丽江市,530700,5307,100.23,26.88,1.749343509,0.469144503,-1
云南省,普洱市,530800,5308,101.68,23.43,1.774650783,0.408930644,-1
云南省,临沧市,530900,5309,100.08,23.88,1.746725515,0.416784625,-1
云南省,楚雄彝族自治州,532300,5323,101.55,25.03,1.772381855,0.436855912,-1
云南省,红河哈尼族彝族自治州,532500,5325,103.15,23.37,1.800307123,0.407883446,-1
云南省,文山壮族苗族自治州,532600,5326,104.25,23.37,1.819505745,0.407883446,-1
云南省,西双版纳傣族自治州,532800,5328,100.8,22.02,1.759291886,0.384321501,-1
云南省,大理白族自治州,532900,5329,100.23,25.6,1.749343509,0.446804289,-1
云南省,德宏傣族景颇族自治州,533100,5331,97.85,24.02,1.707804673,0.419228086,-1
云南省,怒江傈僳族自治州,533300,5333,98.85,25.85,1.725257966,0.451167612,-1
云南省,迪庆藏族自治州,533400,5334,99.7,27.83,1.740093264,0.485725131,-1
西藏自治区,拉萨市,540100,5401,91.13,29.65,1.590518547,0.517490123,-1
西藏自治区,昌都地区,542100,5421,97.18,31.13,1.696110967,0.543320996,1
西藏自治区,山南地区,542200,5422,91.77,29.23,1.601688655,0.51015974,-1
西藏自治区,日喀则地区,542300,5423,88.88,29.27,1.551248639,0.510857872,-1
西藏自治区,那曲地区,542400,5424,92.07,31.48,1.606924642,0.549429649,1
西藏自治区,阿里地区,542500,5425,81.17,30.3,1.416683754,0.528834763,1
西藏自治区,林芝地区,542600,5426,94.37,29.68,1.647067215,0.518013722,-1
陕西省,西安市,610100,6101,111.65,40.87,1.94866011,0.713316065,1
陕西省,铜川市,610200,6102,109.07,35.07,1.903630615,0.612086969,1
陕西省,宝鸡市,610300,6103,107.15,34.37,1.870120294,0.599869664,1
陕西省,咸阳市,610400,6104,108.72,34.35,1.897521963,0.599520598,1
陕西省,渭南市,610500,6105,109.48,34.5,1.910786465,0.602138592,1
陕西省,延安市,610600,6106,109.48,36.6,1.910786465,0.638790506,1
陕西省,汉中市,610700,6107,107.03,33.07,1.868025898,0.577180384,1
陕西省,榆林市,610800,6108,109.75,38.28,1.915498854,0.668112038,1
陕西省,安康市,610900,6109,109.02,32.68,1.902757951,0.5703736,1
陕西省,商洛市,611000,6110,109.93,33.87,1.918640447,0.591143018,1
甘肃省,兰州市,620100,6201,91.13,29.65,1.590518547,0.517490123,-1
甘肃省,嘉峪关市,620200,6202,102.18,38.5,1.78337743,0.671951762,1
甘肃省,金昌市,620300,6203,102.18,38.5,1.78337743,0.671951762,1
甘肃省,白银市,620400,6204,104.18,36.55,1.818284015,0.637917842,1
甘肃省,天水市,620500,6205,106.13,34.75,1.852317935,0.606501915,1
甘肃省,武威市,620600,6206,102.63,37.93,1.791231411,0.662003385,1
甘肃省,张掖市,620700,6207,100.45,38.93,1.753183234,0.679456678,1
甘肃省,平凉市,620800,6208,106.67,35.55,1.861742713,0.620464549,1
甘肃省,酒泉市,620900,6209,98.52,39.75,1.719498379,0.693768378,1
甘肃省,庆阳市,621000,6210,107.63,35.73,1.878497874,0.623606142,1
甘肃省,定西市,621100,6211,104.62,35.58,1.825963463,0.620988148,1
甘肃省,陇南市,621200,6212,104.92,33.4,1.831199451,0.58293997,1
甘肃省,临夏回族自治州,622900,6229,103.22,35.6,1.801528854,0.621337214,1
甘肃省,甘南藏族自治州,623000,6230,102.92,34.98,1.796292866,0.610516172,1
青海省,西宁市,630100,6301,101.8,36.62,1.776745179,0.639139572,1
青海省,海东市,630200,6302,102.12,36.5,1.782330232,0.637045177,1
青海省,海北藏族自治州,632200,6322,101.62,37.38,1.773603586,0.652404074,1
