0,0,0,0
500,0.9833,0,251.77
333.33,1.2827,1,167.85
250,2.0359,2,125.89
200,1.8755,3,100.71
166.67,1.2309,4,83.924
142.86,1.0197,5,71.935
125,1,6,62.943
111.11,1.1778,7,55.949
100,1.296,8,50.354
90.909,1.0426,9,45.777
83.333,1.0989,10,41.962
76.923,1.2691,11,38.734
71.429,1.312,12,35.967
66.667,1.4994,13,33.569
62.5,1.6421,14,31.471
58.824,1.7444,15,29.62
55.556,1.6317,16,27.975
52.632,1.4966,17,26.502
50,1.6281,18,25.177
47.619,1.7045,19,23.978
45.455,1.7921,20,22.888
43.478,1.8991,21,21.893
41.667,2.0056,22,20.981
40,1.8906,23,20.142
38.462,2.0241,24,19.367
37.037,2.1368,25,18.65
35.714,2.163,26,17.984
34.483,2.2253,27,17.364
33.333,2.1971,28,16.785
32.258,2.184,29,16.243
31.25,2.2643,30,15.736
30.303,2.2319,31,15.259
29.412,2.1851,32,14.81
28.571,2.2121,33,14.387
27.778,2.1967,34,13.987
27.027,2.1927,35,13.609
26.316,2.1653,36,13.251
25.641,2.1219,37,12.911
25,2.1311,38,12.589
24.39,2.1235,39,12.282
23.81,2.0712,40,11.989
23.256,2.0913,41,11.71
22.727,2.1248,42,11.444
22.222,2.1169,43,11.19
21.739,2.1196,44,10.947
21.277,2.1149,45,10.714
20.833,2.1192,46,10.49
20.408,2.1104,47,10.276
20,2.0267,48,10.071
19.608,2.0542,49,9.8734
19.231,2.0383,50,9.6835
18.868,2.0541,51,9.5008
18.519,2.0482,52,9.3249
18.182,2.0837,53,9.1553
17.857,2.1026,54,8.9918
17.544,2.097,55,8.8341
17.241,2.1043,56,8.6818
16.949,2.1,57,8.5346
16.667,2.0984,58,8.3924
16.393,2.0817,59,8.2548
16.129,2.0042,60,8.1217
15.873,2.0001,61,7.9927
15.625,2.0057,62,7.8679
15.385,1.9985,63,7.7468
15.152,1.9983,64,7.6294
14.925,1.9729,65,7.5156
14.706,1.9791,66,7.405
14.493,1.9982,67,7.2977
14.286,1.9818,68,7.1935
14.085,1.9636,69,7.0921
13.889,1.9509,70,6.9936
13.699,1.9492,71,6.8978
13.514,1.9576,72,6.8046
13.333,1.8284,73,6.7139
13.158,1.8346,74,6.6256
12.987,1.8089,75,6.5395
12.821,1.7647,76,6.4557
12.658,1.7709,77,6.374
12.5,1.7777,78,6.2943
12.346,1.7727,79,6.2166
12.195,1.7918,80,6.1408
12.048,1.7967,81,6.0668
11.905,1.81,82,5.9946
11.765,1.8238,83,5.924
11.628,1.84,84,5.8551
11.494,1.8342,85,5.7878
11.364,1.8311,86,5.7221
11.236,1.7131,87,5.6578
11.111,1.7035,88,5.5949
10.989,1.6999,89,5.5334
10.87,1.7002,90,5.4733
10.753,1.7027,91,5.4144
10.638,1.6757,92,5.3568
10.526,1.6739,93,5.3004
10.417,1.6787,94,5.2452
10.309,1.6806,95,5.1912
10.204,1.682,96,5.1382
10.101,1.6758,97,5.0863
10,1.6885,98,5.0354
9.901,1.6949,99,4.9856
9.8039,1.7022,100,4.9367
