16,870,2.5839,0.49156,3.0039,1.7204
16,866,-5.8277,0.96013,10.094,1
15,868,-1.9328,0.48641,1.5688,3.2597
14,865,2.9713,0.84788,2.987,2.9842
14,846,-4.4117,0.72683,7.6413,1
14,801,-0.037805,0.0062284,0.06548,1
14,394,-2.9463,0.48541,5.1032,1
14,288,2.3074,0.38014,3.9965,1
14,216,1.9703,0.32461,3.4127,1
13,914,11.359,1.8714,19.675,1
13,893,-1.7544,0.28905,3.0388,1
13,863,-1.6096,0.50779,1.7261,3.0927
13,854,-3.1545,0.51971,5.4638,1
13,845,2.7554,0.58606,2.9495,2.0889
13,841,2.1303,0.40526,3.5159,1.2118
13,806,4.1603,0.68541,7.2058,1
13,803,1.1283,0.23997,8.075,0.31243
13,396,6.3685,1.3545,7.4361,1.915
13,294,-3.6197,0.6886,2.9743,2.434
13,290,-1.9755,0.42017,2.2876,1.9309
13,219,-3.1033,0.51128,5.3752,1
13,215,-2.2534,0.47928,4.9212,1.0239
13,154,-0.2983,0.049146,0.51668,1
12,989,-0.33817,0.055715,0.58574,1
12,986,1.1825,0.19481,2.0481,1
12,916,-2.7861,0.59258,1.1253,5.5361
12,905,4.3863,0.72264,7.5972,1
12,895,0.91865,0.19539,0.66985,3.0666
12,882,-0.8897,0.14658,1.541,1
12,872,2.2556,0.77358,2.759,2.9477
12,859,-0.71068,0.11709,1.2309,1
12,856,1.4338,0.30496,0.9844,3.2569
12,843,-3.239,0.92428,4.6123,2.1068
12,837,-2.2717,0.37427,3.9347,1
12,832,-1.4016,0.23091,2.4276,1
12,829,8.2721,1.3628,14.328,1
12,805,-3.0365,0.81694,3.9621,2.1677
12,780,-10.489,1.7281,18.168,1
12,754,4.2367,0.69799,7.3381,1
12,727,5.6291,1.0709,1.7843,6.3098
12,717,-3.8458,0.73161,5.7408,1.3398
12,711,0.58453,0.1112,0.38323,3.0505
12,619,4.3528,0.71713,7.5393,1
12,588,-2.1258,0.35024,3.6821,1
12,417,1.0977,0.18084,1.9012,1
12,393,-5.0252,1.2646,3.2218,4.1267
12,389,-1.8592,0.35368,0.86871,4.2803
12,292,2.9166,0.83227,3.4835,2.5118
12,218,1.8125,0.48764,3.15,1.6275
12,159,-5.5767,0.91877,9.6592,1
12,156,-5.7152,1.2156,33.53,0.38114
11,994,-2.0621,0.33973,3.5716,1
11,988,2.4383,0.56812,3.9238,1.5222
11,913,-4.1296,1.0392,2.3148,4.7199
11,904,-5.9634,1.2684,3.3072,4.032
11,892,-1.9632,0.49405,2.047,2.5374
11,881,-2.9705,0.6318,3.3697,1.9712
