1,43,43,1.8814,32.635,57,1
1,57,57,34.516,18.553,50,0
1,93,93,53.069,20.404,119,0
1,176,176,73.473,28.211,132,1
1,225,225,101.68,38.803,56,0
1,232,232,140.49,28.394,43,0
1,268,268,168.88,24.553,82,0
1,314,314,193.43,15.131,95,1
1,363,363,208.57,11.846,73,0
1,387,387,220.41,16.164,79,1
1,442,442,236.58,18.201,90,1
1,477,477,254.78,13.385,78,1
1,520,520,268.16,29.553,77,1
1,554,554,297.71,14.651,90,1
1,610,610,312.37,21.428,102,0
1,656,656,333.79,17.401,69,1
1,679,679,351.19,28.729,85,0
1,741,741,379.92,33.727,195,0
1,874,874,413.65,14.653,193,1
1,934,934,428.3,21.894,78,1
1,952,952,450.2,26.955,66,0
