0.001331	0.164079
0.002897	0.108148
0.004668	0.122866
0.006709	0.130559
0.009301	0.117257
0.012028	0.12374
0.014305	0.137873
0.016927	0.126917
0.019625	0.160705
0.022737	0.105194
0.026236	0.106471
0.029257	0.156517
0.032576	0.135408
0.035846	0.126163
0.039905	0.155663
0.044788	0.145487
0.048461	0.146039
0.05266	0.10962
0.058523	0.093757
0.0679	0.100647
0.081455	0.093466
0.092402	0.066866
0.101934	0.115678
0.110978	0.143715
0.119912	0.084677
0.131905	0.158468
0.144245	0.124973
0.156479	0.096755
0.167734	0.138159
0.180753	0.164422
0.205635	0.103837
0.227216	0.084664
0.242944	0.152047
0.25477	0.110161
0.270856	0.169354
0.287661	0.142309
0.30294	0.157848
0.326034	0.140937
0.360129	0.148297
0.393936	0.168786
0.428214	0.137521
0.460803	0.189816
0.494309	0.123808
0.527741	0.150548
0.565193	0.163103
0.601683	0.168323
0.68416	0.119274
0.825006	0.10397
0.955951	0.16486
1.31658	0.221843
